price,latitude,longitude,sq_meters_built,rooms,bathrooms,balcony,terrace,exterior,orientation,rooftop,elevator,pool,ac,heating,neighborhood,dist_city_center,garage,property_type,garden,dist_closest_station,property_age_cat,floor_cat,neighborhood_rent_index_cluster,rooms_per_100_sqm,bathrooms_per_100_sqm
950,41.4185062,2.1394039,95,3,2,1,0,1,Unknown,0,1,0,0,gas,Vallcarca i els Penitents,4.25104815,0,piso,0,0.133195963,Unknown,0 - 5,11.5 - 15,3.1578947368421053,2.1052631578947367
795,41.3888061,2.1828794,35,0,1,1,0,1, este,0,0,0,1,bomba,Sant Pere - Santa Caterina i la Ribera,1.086143924,0,estudio,0,0.417959818,+111,0 - 5,+15,0.0,2.857142857142857
450,41.3795568,2.1884373,16,0,1,1,0,1,Unknown,0,0,0,0,Unknown,La Barceloneta,1.802604872,0,estudio,0,0.394576265,Unknown,0 - 5,+15,0.0,6.25
870,41.3820377,2.1376752,60,1,1,0,1,1, sur,1,1,0,1,bomba,Sants,2.768834082,0,atico,0,0.150069274,35 - 71,5 - 10,11.5 - 15,1.6666666666666667,1.6666666666666667
725,41.3716153,2.1671218,58,1,1,0,0,1, oeste,0,0,0,1,electric,Sants-Montjuïc,1.826337754,0,piso,0,0.366316937,71 - 111,Unknown,11.5 - 15,1.7241379310344827,1.7241379310344827
1000,41.4072496,2.1802504,71,2,1,0,1,0, norte,0,1,0,1,bomba,La Sagrada Família,2.318435553,0,piso,0,0.204395438,Unknown,0 - 5,11.5 - 15,2.816901408450704,1.408450704225352
720,41.3824462,2.1375464,36,2,1,1,0,0,Unknown,0,0,0,0,Unknown,Les Corts,2.768965499,0,piso,0,0.15052865,71 - 111,0 - 5,11.5 - 15,5.555555555555555,2.7777777777777777
750,41.3778745,2.1713503,62,0,1,1,0,1,Unknown,0,0,0,1,gas,El Raval,1.121505296,0,estudio,0,0.389551446,Unknown,0 - 5,+15,0.0,1.6129032258064515
875,41.4215653,2.1450312,95,2,1,0,0,1,Unknown,0,0,0,0,Unknown,Horta Guinardó,4.281766087,0,piso,0,0.291926875,Unknown,0 - 5,11.5 - 15,2.1052631578947367,1.0526315789473684
625,41.382695,2.1814268,30,0,1,1,0,1,Unknown,0,0,0,0,Unknown,Ciutat Vella,1.121307167,0,estudio,0,0.289363737,Unknown,0 - 5,+15,0.0,3.3333333333333335
